#Approved Symbol	Previous Symbols	Synonyms
A1BG		
APLNR	AGTRL1	FLJ90771, APJ, APJR
AGXT	SPAT	AGXT1, PH1, AGT, SPT, AGT1
AHCY		SAHH
AHCYL1		XPVKONA, IRBIT
AHRR	AHH, AHHR	KIAA1234, bHLHe77
AHNAK		MGC5395
AHR		bHLHe76
AHSG		FETUA, A2HS, HSGA
AIC		
AIF1		IRT-1, AIF-1, Em:AF129756.17, IBA1
AIH3		
AIM1		ST4, CRYBG1
AIM2		PYHIN4
AIP		XAP2, ARA9, FKBP16
AIPL1	LCA4	
AIRE	APECED	PGA1, APS1
AK1		
AK2		
AK4	AK3, AK3L1	
AK4P1	AK3P1	
AK5		
AKAP1	PRKA1	AKAP121, AKAP149, SAKAP84, S-AKAP84, AKAP84, D-AKAP1, PPP1R43, TDRD17
AKAP10		D-AKAP2, PRKA10, MGC9414
AKAP11		KIAA0629, AKAP220, PRKA11, FLJ11304, DKFZp781I12161, PPP1R44
AKAP12		AKAP250, SSeCKS
AKAP13	LBC	Ht31, BRX, AKAP-Lbc, c-lbc, PROTO-LB, HA-3, ARHGEF13
AKAP2	PRKA2	AKAP-KL, KIAA0920, DKFZp564L0716
AKAP3		FSP95, SOB1, AKAP110, CT82
AKAP4		p82, hAKAP82, AKAP82, Fsc1, HI, CT99
AKAP5		AKAP75, AKAP79
AKAP6		KIAA0311, mAKAP, AKAP100, PRKA6, ADAP6
AKAP7		AKAP18, AKAP15
AKAP8		AKAP95, DKFZp586B1222
AKAP9		KIAA0803, AKAP350, AKAP450, CG-NAP, YOTIAO, HYPERION, PRKA9, MU-RMS-40.16A, PPP1R45, LQT11
AKR1A1		ALR, DD3
AKR1B1	ALDR1	AR
AKR1B10	AKR1B11	AKR1B12, ARL-1, HIS, ARL1, HSI, ALDRLn
AKR1C1	DDH1	DDH, MBAB, DD1, HAKRC
AKR1C2	DDH2	DD, BABP, DD2, HAKRD, MCDR2
AKR1C3	HSD17B5	KIAA0119, DDX, HAKRB, PGFS
AKR1C4	CHDR	DD4, HAKRA, C11, 3-alpha-HSD, CDR, MGC22581
AKR1D1	SRD5B1	
AKR7A2		AFAR
AKR7A3		
AKT1		RAC, PKB, PRKBA, AKT
AKT2		
AKT3		PKBG, RAC-gamma, PRKBG
ALAD		ALADH, PBGS
ALAS1	ALAS3, ALAS	
ALAS2	ASB	
ALB		
ALCAM		CD166, MEMD
ALDH1A1	PUMB1, ALDH1	RALDH1
ALDH3A2	SLS, ALDH10	FALDH
ALDH2		
ALDH3A1	ALDH3	
ALDH4A1	ALDH4	P5CDh
ALDH1B1	ALDH5	ALDHX
ALDH5A1		SSADH, SSDH
ALDH1A3	ALDH6	RALDH3
ALDH3B1	ALDH7	
ALDH3B2	ALDH8	
ALDH9A1	ALDH7, ALDH4, ALDH9	E3
ALDOA		
ALDOAP1		
ALDOAP2		
ALDOB		
ALDOC		
AKR1B1P1	ALDRL1	
AKR1B1P3	ALDRL3	
AKR1B1P4	ALDRL4	
AKR1B1P2	ALDRP	
ALK		CD246
ALMS1		KIAA0328
ALOX12		12S-LOX
ALOX12B		12R-LOX
ALOX12P1	ALOX12P	
ALOX12P2		
ALOX15		15-LOX-1
ALOX15B		15-LOX-2
ALOX5		5-LOX
ALOX5AP		FLAP
ALPI		
ALPL	HOPS	TNSALP
ALPP		
ALPPL2		
ALS2	ALS2CR6	
ALS3		
SETX	ALS4, SCAR1	KIAA0625, AOA2
ALS5		
ZBED1	ALTE	TRAMP, KIAA0785, DREF, hDREF
ALX3		
ALX4	PFM2	FPP, PFM, KIAA1788
AMACR		RACE
AMBN		
AMBP	ITI, ITIL	UTI, HCP, EDC1, HI30, IATIL, ITILC
AMCD2B		DA2B
AMCN		AMC, AMCN1, AMC1
AMD1		SAMDC
AMDP1	AMD2, AMD	AMDPX, AMDPY
AMELX	AMG, AIH1	
AMELY	AMGL	
AMFR		RNF45, gp78
AMH		MIS
AMHR2		MISR2, MISRII
AMLCR2		
AMMECR1		
AMPD1		MAD, MADA
AMPD2		
AMPD3		
AMPH		
AMT		GCST, NKH
AMY1A	AMY1	
AMY1B	AMY1	
AMY1C	AMY1	
AMY2A	AMY2	
AMY2B	AMY2	
AMYP1	AMY2P	
ANCR		
ANG		RNASE5
ANGPT1		KIAA0003, Ang1
ANGPT2		Ang2
ANGPT4		
ANGPTL1	ANGPT3	ANG3, AngY, ARP1
ANGPTL2		ARP2, HARP
ANGPTL3	ANGPT5	
ANK1	ANK	SPH1
ANK2	LQT4	
ANK3		
ANKRD2		ARPP
RIPK4	ANKRD3	DIK, ANKK2, RIP4, PKK
TRPA1	ANKTM1	
ANOP1		MCOPS4
ANPEP	CD13, PEPN	LAP1, gp150, p150
SLC25A5P3	ANTP1	
SLC25A5P5	ANTP5	TCAG_29001
SLC25A5P6	ANTP6	
SLC25A5P7	ANTP7	
ANXA1	ANX1, LPC1	
ANXA10		ANX14
ANXA11	ANX11	
ANXA13	ANX13	
ANXA2	ANX2, ANX2L4, CAL1H, LPC2D	LIP2
ANXA2P1	LPC2A, ANX2P1, ANX2L1	
ANXA2P2	ANX2P2, ANX2L2, LPC2B	
ANXA2P3	ANX2P3, ANX2L3, LPC2C	LIP2
ANXA3	ANX3	
ANXA4	ANX4	
ANXA5	ENX2, ANX5	
ANXA6	ANX6	
ANXA7	ANX7	
ANXA8	ANX8	
ANXA9	ANX31	
AOAH		
AOC2		RAO, DAO2
AOC3		VAP1, HPAO, VAP-1
AOM		STL1
AOX1		AO, AOH1
AP1B1	ADTB1, CLAPB2	BAM22, AP105A
AP1G1	CLAPG1, ADTG	
AP1G2		G2AD
SYNRG	AP1GBP1	SYNG, MGC104959
AP1M2		HSMU1B, mu2, AP1-mu2
AP1S1	CLAPS1	AP19, SIGMA1A, WUGSC:H_DJ0747G18.2
AP1S2	MRX59	SIGMA1B
AP2A1	CLAPA1, ADTAA	
AP2A2	CLAPA2, ADTAB	DKFZP564D1864, HYPJ, KIAA0899, HIP9
AP2B1	ADTB2, CLAPB1	
AP2M1	CLAPM1	AP50, mu2
AP2S1	CLAPS2	
AP3B1		ADTB3A, HPS2
AP3B2		NAPTB
AP3D1		ADTD
AP3M1		
AP3M2		CLA20, AP47B
AP3S2		sigma3b
AP4B1	SPG47	BETA-4
AP4E1		AP-4-EPSILON, SPG51
AP4M1		MU-ARP2, MU-4, SPG50
AP4S1		CLA20, AP47B, SPG52
APAF1		CED4, APAF-1
APBA1	MINT1	D9S411E, X11
APBA2	X11L, MINT2	D15S1518E, LIN-10, MGC:14091, HsT16821
APBA3		X11L2, mint3
APBB1	RIR	Fe65
APBB2		FE65L, FE65L1, MGC35575
APC		DP2, DP3, DP2.5, PPP1R46
APCS		SAP, PTX2, MGC88159
APEH	D3F15S2, DNF15S2, D3S48E	
APEX1	APEX	APE, REF1, HAP1, APX, APEN, REF-1, APE-1
ATG12	APG12L	APG12
ATG5	APG5L	ASP, APG5, hAPG5
BIRC2	API1	cIAP1, hiap-2, MIHB, RNF48, c-IAP1
BIRC3	API2	cIAP2, hiap-1, MIHC, RNF49, MALT2, c-IAP2
XIAP	API3, BIRC4	hILP
BIRC5	API4	EPR-1, survivin
API5		AAC-11, API5L1, AAC11
API5P1	API5L1	
APLP1		APLP
APLP2	APPL2	APPH
APOA1		
APOA2		
APOA4		
APOB		
APOBEC1		BEDP, CDAR1, APOBEC-1, HEPR
APOBEC2		ARCD1, ARP1
APOC1		
APOC1P1		
APOC2		
APOC3		
APOC4		
APOD		
APOE	AD2	
APOF		
APOH	B2G1	BG
APOL1	APOL	
APOL2		APOL-II
APP	AD1	
NAE1	APPBP1	ula-1
APPBP2		KIAA0228, Hs.84084, PAT1
APRT		
SHROOM2	APXL	
SHROOM2P1	APXLP	
AQP1	CO	CHIP28
AQP2		
AQP3		GIL
AQP4		MIWC
AQP5		
AQP6	AQP2L	
AQP7	AQP7L	AQP9, AQPap
AQP8		
AQP9		SSC1, HsT17287
AR	DHTR, SBMA	AIS, NR3C4, SMAX1, HUMARA
ARAF	ARAF1	
ARAF2P	ARAF2, ARAFPS	PKS1
ARC		KIAA0278, Arg3.1
ARCN1	COPD	
AREG	SDGF	
ARF1		
ARF3		
ARF4	ARF2	
ARL4D	ARF4L	
ARF4P1	ARF4P	
ARF5		
ARF6		
TRIM23	ARFD1	ARD1, RNF46
ARFGAP3	ARFGAP1	
ARFRP1		ARP, Arp1, ARL18
ARG1		
ARG2		
RHOA	ARH12, ARHA	RhoA, Rho12, RHOH12
RHOB	ARH6, ARHB	RhoB, RHOH6, MST081
RHOC	ARH9, ARHC	RhoC
RHOD	ARHD	RhoHP1, RhoD, Rho
RND3	ARHE	RhoE, Rho8
RHOG	ARHG	RhoG, MGC125835, MGC125836
ARHGAP1		RhoGAP, p50rhoGAP, CDC42GAP, Cdc42GAP
ARHGAP4		KIAA0131, C1, p115, RhoGAP4, SrGAP4
ARHGAP5	GFI2	RhoGAP5, p190-B, p190BRhoGAP
ARHGAP6		rhoGAPX-1
ARHGAP8		FLJ20185, BPGAP1
ARHGDIA	GDIA1	RHOGDI
ARHGDIB	RAP1GN1, GDIA2, GDID4	Ly-GDI, RhoGDI2
ARHGDIG		RHOGDI-3
ARHGEF1		P115-RHOGEF, SUB1.5, LBCL2
ARHGEF2		LFP40, GEF-H1, KIAA0651, P40
ARHGEF3		STA3, XPLN, GEF3, DKFZP434F2429
ARHGEF4		STM6, KIAA1112, ASEF
ARHGEF6	MRX46	alphaPIX, Cool-2, KIAA0006, alpha-PIX, Cool2
RHOH	ARHH	RhoH, TTF
DIRAS3	ARHI	NOEY2
RHOJ	RASL7B, ARHJ	FLJ14445, TCL
ARIH1		HARI, HHARI, UBCH7BP, ARI
ARIH2		TRIAD1
PHOX2A	ARIX, FEOM2	PMX2A, CFEOM2
ARL1		ARFL1
ARL2		ARFL2
ARL3		ARFL3
ARL4A	ARL4	
ARL5A	ARL5	
ARL6IP1	ARL6IP	AIP1, ARMER, KIAA0069
ARL4C	ARL7	LAK
ARNT		HIF-1beta, bHLHe2
